Autodesk Viewer mesh export
Source: https://autode.sk/4qnE031
Units: mm
Format: OBJ mesh, not parametric CAD solids

OK 003_Part7.obj: 544 vertices, 528 faces, 1 fragments
OK 067_Part11.obj: 826 vertices, 780 faces, 1 fragments
OK 073_Part9.obj: 720 vertices, 676 faces, 1 fragments
OK 008_Part8.obj: 740 vertices, 728 faces, 1 fragments
OK 065_Part12.obj: 438 vertices, 392 faces, 1 fragments
OK 078_Part15.obj: 278 vertices, 224 faces, 1 fragments
OK 046_Part5.obj: 454 vertices, 440 faces, 1 fragments
OK 047_Part6.obj: 566 vertices, 548 faces, 1 fragments
OK 013_Part26.obj: 478 vertices, 464 faces, 1 fragments
OK 045_Part14.obj: 254 vertices, 172 faces, 1 fragments
OK 009_SG90.obj: 2188 vertices, 2432 faces, 6 fragments
OK 138_SG90.obj: 2188 vertices, 2432 faces, 6 fragments
OK 066_SG90.obj: 2188 vertices, 2432 faces, 6 fragments
OK 071_SG90.obj: 2188 vertices, 2432 faces, 6 fragments
OK 070_Part13.obj: 240 vertices, 160 faces, 1 fragments
OK 069_Part13.obj: 240 vertices, 160 faces, 1 fragments
OK 139_Part17.obj: 784 vertices, 760 faces, 1 fragments
OK 005_Part3.obj: 336 vertices, 328 faces, 1 fragments
OK 006_Part4.obj: 308 vertices, 300 faces, 1 fragments
OK 007_Part4.obj: 308 vertices, 300 faces, 1 fragments
OK 014_Part4.obj: 308 vertices, 300 faces, 1 fragments
OK 012_Part16.obj: 534 vertices, 524 faces, 1 fragments
OK 004_Part1.obj: 412 vertices, 392 faces, 1 fragments
OK 072_Part1.obj: 412 vertices, 392 faces, 1 fragments
OK 068_Part1.obj: 412 vertices, 392 faces, 1 fragments
OK 142_Part20.obj: 588 vertices, 560 faces, 1 fragments
OK 144_Part22.obj: 1866 vertices, 1652 faces, 1 fragments
OK 143_Part21.obj: 1822 vertices, 1592 faces, 1 fragments
OK 130_Part2.obj: 450 vertices, 440 faces, 1 fragments
OK 141_Part18.obj: 460 vertices, 420 faces, 1 fragments
OK 145_Part23.obj: 324 vertices, 316 faces, 1 fragments
OK 149_Part25.obj: 324 vertices, 316 faces, 1 fragments
OK 074_SG90Horn2.obj: 1700 vertices, 1700 faces, 1 fragments
OK 140_Part19.obj: 170 vertices, 144 faces, 1 fragments
OK 048_SG90Horn1.obj: 1064 vertices, 1060 faces, 1 fragments
OK 146_SG90Horn1.obj: 1064 vertices, 1060 faces, 1 fragments
OK 131_SG90Horn1.obj: 1064 vertices, 1060 faces, 1 fragments
OK 024_Part24.obj: 272 vertices, 268 faces, 1 fragments
OK 023_Part24.obj: 272 vertices, 268 faces, 1 fragments
OK 053_ANSI_B18.3.4M_-_M3_x_0.5_x_12(1).obj: 741 vertices, 958 faces, 1 fragments
OK 052_ANSI_B18.3.4M_-_M3_x_0.5_x_12(1).obj: 741 vertices, 958 faces, 1 fragments
OK 086_ANSI_B18.3.4M_-_M3_x_0.5_x_12(1).obj: 741 vertices, 958 faces, 1 fragments
OK 085_ANSI_B18.3.4M_-_M3_x_0.5_x_12(1).obj: 741 vertices, 958 faces, 1 fragments
OK 084_ANSI_B18.3.4M_-_M3_x_0.5_x_12(1).obj: 741 vertices, 958 faces, 1 fragments
OK 083_ANSI_B18.3.4M_-_M3_x_0.5_x_12(1).obj: 741 vertices, 958 faces, 1 fragments
OK 030_ANSI_B18.3.4M_-_M3_x_0.5_x_8(1).obj: 764 vertices, 996 faces, 1 fragments
OK 088_ANSI_B18.3.4M_-_M3_x_0.5_x_8(1).obj: 764 vertices, 996 faces, 1 fragments
